email,label
"Your account is suspended. Click here to verify immediately",phishing
"Update your bank details to avoid account closure",phishing
"Win a free iPhone now. Limited time offer",phishing
"Reset your password now to secure your account",phishing
"Congratulations! You have won a lottery",phishing
"Meeting scheduled for tomorrow at 10 AM",safe
"Please find the project report attached",safe
"Invoice for last month is attached",safe
"Let's catch up this weekend",safe
"Team lunch planned for Friday",safe
